date,holding,strategy_equity,buy_hold_levered
2018-11-29,CASH,120655.00349924038,106234.34237024876
2018-11-30,CASH,120655.00349924038,107868.71408354805
2018-12-03,CASH,120655.00349924038,111453.79530436778
2018-12-04,CASH,120655.00349924038,102912.87597794665
2018-12-06,CASH,120655.00349924038,104389.07879413538
2018-12-07,CASH,120655.00349924038,97403.451760397
2018-12-10,CASH,120655.00349924038,99485.9636542375
2018-12-11,CASH,120655.00349924038,100105.43587552955
2018-12-12,CASH,120655.00349924038,101884.80328642167
2018-12-13,CASH,120655.00349924038,101977.06596243345
2018-12-14,CASH,120655.00349924038,96704.89006261091
2018-12-17,CASH,120655.00349924038,92645.31220633695
2018-12-18,CASH,120655.00349924038,93660.2016424667
2018-12-19,CASH,120655.00349924038,89231.57308214555
2018-12-20,CASH,120655.00349924038,86555.94542192602
2018-12-21,CASH,120655.00349924038,80980.62001121634
2018-12-24,CASH,120655.00349924038,77131.93401775646
2018-12-26,CASH,120655.00349924038,86569.12867732128
2018-12-27,CASH,120655.00349924038,87294.05688589787
2018-12-28,CASH,120655.00349924038,87188.61095449082
2018-12-31,CASH,120655.00349924038,88559.37789514998
2019-01-02,CASH,120655.00349924038,89218.3998826278
2019-01-03,CASH,120655.00349924038,83234.47902962391
2019-01-04,CASH,120655.00349924038,90694.60269881652
2019-01-07,CASH,120655.00349924038,92526.68301953466
2019-01-08,CASH,120655.00349924038,94371.94659564804
2019-01-09,CASH,120655.00349924038,95782.25324661547
2019-01-10,CASH,120655.00349924038,96269.93313746495
2019-01-11,CASH,120655.00349924038,95689.99057060368
2019-01-14,CASH,120655.00349924038,93950.17292589734
2019-01-15,CASH,120655.00349924038,97653.87327764186
2019-01-16,CASH,120655.00349924038,97627.51682272885
2019-01-17,CASH,120655.00349924038,99011.46701878327
2019-01-18,CASH,120655.00349924038,100935.8100155132
2019-01-22,CASH,120655.00349924038,97087.12402205334
2019-01-23,CASH,120655.00349924038,97205.74315297815
2019-01-24,CASH,120655.00349924038,98378.80148621846
2019-01-25,CASH,120655.00349924038,100856.72053901917
2019-01-28,CASH,120655.00349924038,98273.35555481142
2019-01-29,QLD,118292.39351514667,96349.0125580815
2019-01-30,QLD,124538.75084345853,101436.66310588045
2019-01-31,QLD,128115.03110098965,104349.5390838271
2019-02-01,QLD,126933.73228198903,103387.37261340088
2019-02-04,QLD,130056.91094614497,105931.19788730037
2019-02-05,QLD,132403.33520302028,107842.35762863503
2019-02-06,QLD,131529.49112461426,107130.6126754537
2019-02-07,QLD,127985.56997542747,104244.09315242004
2019-02-08,QLD,128390.12673323993,104573.60414615898
