,QLD,Macro_State,Holdings,Strategy_Equity,QLD_Equity
4/9/2018,9.076896667,Blackout period,CASH,107690.2015,97060.7899
4/10/2018,9.476259232,Blackout period,CASH,107700.8628,101331.2413
4/11/2018,9.377651215,Blackout period,CASH,107711.5252,100276.8091
4/12/2018,9.592125893,Blackout period,CASH,107722.1886,102570.2231
4/13/2018,9.502142906,Blackout period,CASH,107732.8531,101608.0198
4/16/2018,9.636498451,Blackout period,CASH,107743.5187,103044.7063
4/17/2018,10.04695702,Blackout period,CASH,107754.1853,107433.8092
4/18/2018,10.09379482,Blackout period,CASH,107764.853,107934.6537
4/19/2018,9.92246151,Blackout period,CASH,107775.5217,106102.5577
4/20/2018,9.599518776,Blackout period,CASH,107786.1915,102649.2764
4/23/2018,9.54775238,Blackout period,CASH,107796.8623,102095.7296
4/24/2018,9.142224312,Blackout period,CASH,107807.5342,97759.34945
4/25/2018,9.170573235,Blackout period,CASH,107818.2071,98062.48927
4/26/2018,9.54035759,Blackout period,CASH,107828.8811,102016.6559
4/27/2018,9.556380272,Blackout period,CASH,107839.5562,102187.9891
4/30/2018,9.417095184,Blackout period,CASH,107850.2323,100698.5901
5/1/2018,9.624171257,Blackout period,CASH,107860.9095,102912.8896
5/2/2018,9.520633698,Blackout period,CASH,107871.5877,101805.745
5/3/2018,9.514469147,Blackout period,CASH,107882.267,101739.8264
5/4/2018,9.873158455,Blackout period,CASH,107892.9473,105575.3518
5/7/2018,10.02846527,Blackout period,CASH,107903.6287,107236.0738
5/8/2018,10.00627804,Blackout period,CASH,107914.3112,106998.822
5/9/2018,10.23800945,Blackout period,CASH,107924.9947,109476.7651
5/10/2018,10.44508362,Blackout period,CASH,107935.6793,111691.0442
5/11/2018,10.42536449,Blackout period,CASH,107946.3649,111480.1842
5/14/2018,10.45618057,Blackout period,CASH,107957.0516,111809.7057
5/15/2018,10.22568417,Blackout period,CASH,107967.7394,109344.9688
5/16/2018,10.3625021,Blackout period,CASH,107978.4282,110807.986
5/17/2018,10.27498817,Blackout period,CASH,107989.118,109872.1848
5/18/2018,10.16898155,Blackout period,CASH,107999.809,108738.6381
5/21/2018,10.28731155,Blackout period,CASH,108010.5009,110003.9608
5/22/2018,10.25772953,Blackout period,CASH,108021.194,109687.6352
5/23/2018,10.42906189,Blackout period,CASH,108031.8881,111519.7211
5/24/2018,10.4192009,Blackout period,CASH,108042.5832,111414.2759
5/25/2018,10.44138908,Blackout period,CASH,108053.2794,111651.5378
5/29/2018,10.34770966,Invest,QLD,107083.8329,110649.808
5/30/2018,10.49192524,Invest,QLD,108576.2556,112191.9295
5/31/2018,10.47836685,Invest,QLD,108435.9459,112046.9474
6/1/2018,10.80747223,Invest,QLD,111841.7107,115566.1268
6/4/2018,10.99236202,Invest,QLD,113755.0527,117543.1846
6/5/2018,11.06385517,Invest,QLD,114494.9034,118307.6729
6/6/2018,11.19574165,Invest,QLD,115859.7378,119717.9574
6/7/2018,11.02071571,Invest,QLD,114048.4724,117846.3754
6/8/2018,11.00961971,Invest,QLD,113933.6448,117727.724
6/11/2018,11.06878567,Invest,QLD,114545.927,118360.3956
6/12/2018,11.18588161,Invest,QLD,115757.7006,119612.5223
6/13/2018,11.17602062,Invest,QLD,115655.6537,119507.077
6/14/2018,11.40898228,Invest,QLD,118066.47,121998.1754
6/15/2018,11.3288641,Invest,QLD,117237.3627,121141.4582
6/18/2018,11.31530476,Invest,QLD,117097.0431,120996.4659
6/19/2018,11.24627876,Invest,QLD,116382.7238,120258.3592
6/20/2018,11.40651703,Invest,QLD,118040.9582,121971.8141
6/21/2018,11.20436764,Invest,QLD,115949.0043,119810.1965
6/22/2018,11.13287926,Invest,QLD,115209.203,119045.7592
6/25/2018,10.64846516,Invest,QLD,110196.2175,113865.8374
6/26/2018,10.73844719,Invest,QLD,111127.4014,114828.0304
6/27/2018,10.43399334,Invest,QLD,107976.7442,111572.454
6/28/2018,10.62381458,Invest,QLD,109941.1196,113602.2445
6/29/2018,10.65709305,Invest,QLD,110285.5036,113958.0968
7/2/2018,10.81733227,Invest,QLD,111943.7479,115671.5619
7/3/2018,10.56464958,Invest,QLD,109328.8474,112969.5832
7/5/2018,10.82719135,Invest,QLD,112045.7751,115776.9867
7/6/2018,11.1538353,Invest,QLD,115426.0677,119269.8457
7/9/2018,11.36091137,Invest,QLD,117569.0056,121484.1451
7/10/2018,11.37816811,Invest,QLD,117747.5879,121668.6743
